Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
2011,498,472,513,543,571,635,689,685,690,627,515,467
2012,499,499,510,560,611,651,685,717,683,630,556,476
2013,470,483,550,588,624,679,711,699,679,604,551,484
2014,542,525,562,582,640,674,724,708,698,658,567,522
2015,525,555,588,571,586,688,709,720,710,667,512,465
2016,502,554,546,584,612,692,702,698,677,613,557,481
2017,475,508,550,565,618,684,725,727,701,635,562,509
2018,528,507,517,565,600,665,737,708,674,629,566,495
2019,508,455,516,587,581,677,700,721,689,617,555,498
2020,490,526,506,568,631,673,699,740,720,678,538,500
2021,500,509,501,567,618,684,722,717,695,604,575,478
2022,506,506,538,560,608,691,704,722,720,625,506,483
2023,478,462,479,554,591,629,722,716,658,638,558,523
2024,502,502,519,556,606,685,750,716,695,671,520,526
2025,494,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
