OBJECTID,GlobalID,type,source,poly_DateCurrent,mission,incident_name,incident_number,area_acres,description,FireDiscoveryDate,CreationDate,EditDate,displayStatus
160,64741e2c-662c-4d8a-96f4-b28a2e4834b2,Heat Perimeter,FIRIS,2024/06/10 00:49:04.752+00,CA-SCU-JOHN-N57B,,,52.8319846548048,FIRIS Perimeter,,2024/06/10 00:48:07+00,2024/06/10 00:51:38.877+00,Inactive
161,4b324d4a-b88d-464e-b575-93772431e65c,Heat Perimeter,FIRIS,2024/06/10 01:04:39.140+00,CA-SCU-JOHN-N57B,,,55.2374558070303,FIRIS Perimeter,,2024/06/10 01:03:21+00,2024/06/10 01:07:49.517+00,Inactive
162,0355519b-538a-4f6e-9592-76783d2e9b29,Heat Perimeter,FIRIS,2024/06/10 01:12:45.132+00,CA-LAC-FOREST-N43U,,,41.144295757894,FIRIS Perimeter,,2024/06/10 01:11:58+00,2024/06/10 01:17:48.736+00,Inactive
163,c44265de-d1db-498f-beb9-5ff4f0d11019,Heat Perimeter,FIRIS,2024/06/10 21:31:52.906+00,CA-TCU-ACORN-N57B,,,14.4281294056771,FIRIS Perimeter,,2024/06/10 21:30:42+00,2024/06/10 21:34:36.498+00,Inactive
164,c2a11923-7b4f-46c4-891f-26ed19d8f511,Heat Perimeter,FIRIS,2024/06/11 20:54:13.430+00,CA-RRU-CARMEN-N43U,,,64.2616840537272,FIRIS Perimeter,,2024/06/11 20:51:42+00,2024/06/11 20:57:17.361+00,Inactive
165,ecf8171c-f2c0-4b32-92e8-7bcb0d6acc99,Heat Perimeter,FIRIS,2024/06/11 20:54:13.430+00,CA-RRU-CARMEN-N43U,,,64.2616840537272,FIRIS Perimeter,,2024/06/11 20:51:42+00,2024/06/11 20:57:17.361+00,Inactive
166,2c8bfc74-1abd-4062-9cd7-e4bc68369c03,Heat Perimeter,FIRIS,2024/06/11 21:36:51.595+00,CA-CDD-STODDARD3-N43U,,,256.831224226614,FIRIS Perimeter,,2024/06/11 21:33:33+00,2024/06/11 21:39:27.407+00,Inactive
167,1ef71583-c1a0-4f59-a972-48c0c8fc4bdd,Heat Perimeter,FIRIS,2024/06/11 21:36:51.595+00,CA-CDD-STODDARD3-N43U,,,256.831224226614,FIRIS Perimeter,,2024/06/11 21:33:33+00,2024/06/11 21:41:39.923+00,Inactive
168,fa61d611-b625-40fb-a313-47defff71e01,Heat Perimeter,FIRIS,2024/06/12 21:01:33.882+00,CA-SLU-BEAR-N43U,,,498.460243541296,FIRIS Perimeter,,2024/06/12 20:58:09+00,2024/06/12 21:04:21.722+00,Inactive
169,388f57b5-c657-4ee6-9a6c-f5f777ef5a14,Heat Perimeter,FIRIS,2024/06/12 23:38:16.518+00,CA-AEU-GRANT-N57B,,,119.661479013099,FIRIS Perimeter,,2024/06/12 23:37:02+00,2024/06/12 23:41:55.380+00,Inactive
170,94e80355-8dc8-48b3-9c65-612589b7f7fc,Heat Perimeter,FIRIS,2024/06/14 02:52:41.358+00,CA-CCD-PETERSON-N57B,,,21.864032275642,FIRIS Perimeter,,2024/06/14 02:45:27+00,2024/06/14 02:55:22.646+00,Inactive
171,3ba76588-d448-4dba-b4a1-2556b107cb1d,Heat Perimeter,FIRIS,2024/06/14 02:52:41.358+00,CA-CCD-PETERSON-N57B,,,21.864032275642,FIRIS Perimeter,,2024/06/14 02:45:27+00,2024/06/14 02:55:22.646+00,Inactive
172,ae99bddc-b3ef-450d-89ad-04f6800b9a9c,Heat Perimeter,FIRIS,2024/06/14 23:15:54.699+00,CA-LAC-LOPEZ-N43U,,,5.56593401295759,FIRIS Perimeter,,2024/06/14 23:14:59+00,2024/06/14 23:18:13.142+00,Inactive
