Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
2008,1009,429,92,52,84,4,1,4,2,162,351,384
2009,194,803,457,116,258,130,2,14,13,328,173,434
2010,941,478,369,550,223,40,6,20,30,478,442,1039
2011,169,553,1072,203,309,207,4,0,19,245,218,31
2012,542,211,890,408,48,66,6,5,2,174,779,1110
2013,134,67,221,134,117,114,14,17,127,37,140,51
2014,84,785,638,163,57,8,13,43,111,185,348,1176
2015,28,486,86,190,130,41,47,6,37,91,293,749
2016,1063,174,967,195,165,69,1,2,3,717,382,703
2017,1510,1348,451,567,48,62,6,16,46,65,700,48
2018,527,70,805,444,147,14,5,0,3,98,478,408
2019,881,1425,699,251,447,18,1,24,133,16,127,725
2020,368,7,384,171,266,28,7,13,1,3,221,291
2021,441,262,277,56,20,9,5,1,65,786,188,903
2022,75,20,116,349,47,99,3,9,128,6,299,1046
2023,1157,388,1110,106,199,84,1,56,102,78,212,497
2024,664,897,635,188,138,1,5,47,20,78,879,769
2025,124,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
