Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
2011,515,497,499,561,621,716,796,823,817,660,526,506
2012,507,521,510,595,692,731,817,862,826,688,554,453
2013,483,533,588,641,699,775,868,821,753,668,584,500
2014,560,523,582,642,712,784,867,835,797,694,563,497
2015,555,582,633,635,684,828,835,828,782,729,533,452
2016,472,570,556,653,692,782,829,849,781,610,557,458
2017,449,488,563,577,708,774,862,867,779,690,529,513
2018,506,530,538,606,697,776,866,832,780,681,584,478
2019,510,432,537,626,665,785,819,846,742,664,604,474
2020,479,576,543,645,688,766,845,862,817,753,556,504
2021,490,513,551,660,719,813,882,844,793,632,564,453
2022,531,568,600,592,668,773,850,866,808,712,516,458
2023,480,491,467,602,686,756,861,844,740,678,566,508
2024,492,497,531,615,704,802,904,827,808,715,508,509
2025,532,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
