Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
2011,335,300,356,353,390,461,523,523,505,445,352,286
2012,318,322,333,384,412,451,518,534,492,443,395,323
2013,295,304,356,386,430,492,550,530,494,395,365,282
2014,338,360,375,390,436,481,567,548,519,466,400,392
2015,368,386,393,372,439,522,560,545,494,476,342,337
2016,362,372,377,412,449,493,527,539,486,446,400,300
2017,309,359,379,376,435,500,545,567,518,416,391,320
2018,372,308,337,382,449,475,556,533,478,438,370,338
2019,361,302,348,416,431,488,530,551,491,393,373,361
2020,352,327,336,396,439,489,535,564,532,459,351,329
2021,347,327,320,378,428,516,568,546,503,428,394,332
2022,337,311,357,355,410,486,550,561,526,448,323,326
2023,331,295,306,364,446,486,548,561,499,445,380,377
2024,377,353,349,379,421,496,577,532,511,453,356,365
2025,331,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
